word,translation,freq,category,example,diff
densitometry,密度测量法,12,musculoskeletal,Densitometry The estimate of total body fat percentage can be derived from a mea,medium
density,密度,54,fitness,Because of the cardioprotective effect of high-density lipoprotein cholesterol (,easy
deposition,deposi过程,1,fitness,"Amyloid β deposition, neurodegeneration, and cognitive decline in sporadic Alzhe",hard
deposits,沉积物,1,fitness,It is assumed that approximately one-third of the total fat in the body is locat,hard
depot-specific,depot特异性的,1,cardiovascular,Racial differences in abdominal depot-specific adiposity in white and African Am,hard
dermatitis,dermatitis炎,1,physiology,Dermatitis,hard
dermatomyositis,皮肌炎,1,musculoskeletal,"diseases (e.g., systemic lupus erythematosus, systemic sclerosis [scleroderma], ",hard
dexamethasone,地塞米松,5,musculoskeletal,"Dexamethasone (i.e., Decadron, Hexadrol) is taken orally and may be used for pre",hard
diabetes-2019,糖尿病2019,2,physiology,Classification and diagnosis of diabetes: standards of medical care in diabetes-,hard
diabetes-related,diabetes相关的,1,physiology,Benefits of Regular Physical Activity for Diabetes Physical activity (PA) is a k,hard
diabetic retinopathy,糖尿病视网膜病变,2,cardiovascular,Potential complications/contraindications may affect the appropriateness of some,hard
dialysis,透析,14,physiology,"(HIV)/acquired immunodeficiency syndrome (AIDS), cancer, kidney failure (dialysi",medium
diastasis,diastasis停滞,1,physiology,"During pregnancy, some women experience diastasis recti, indicated by a visible ",hard
diometabolic,diometabol的,1,musculoskeletal,"diometabolic Health; Council on Arteriosclerosis, Throm-",hard
disability,残疾,129,cardiovascular,Additional information related to the benefits of PA and exercise specific to a ,easy
disease-modifying,疾病修饰的,3,physiology,Pharmaceutical treatment of OA primarily involves analgesics and topical and ora,hard
disease-specific,疾病特异性的,5,cardiovascular,Impact of cardiorespiratory fitness on all-cause and disease-specific mortality:,hard
diseases-conditions,疾病-状况,6,metabolism,Available from: from https://www.rheumatology.org/I-Am-A/Patient- Caregiver/Dise,hard
dispositions,处置,1,fitness,Individuals with ID or DS could have personality dispositions that lead to uneas,hard
diversity,多样性,4,fitness,"Cultural Diversity In order to provide culturally competent care to exercisers, ",hard
doctor-diagnosed,医生诊断的,2,cardiovascular,Vital signs: prevalence of doctor-diagnosed arthritis and arthritis-attributable,hard
doms,延迟性肌肉酸痛,3,musculoskeletal,"delayed onset muscle soreness (DOMS), especially in those who are new to exercis",hard
dose,剂量,32,physiology,"higher loads (dose-response), eccentric flywheel devices",easy
dose-response,剂量-反应,44,physiology,"higher loads (dose-response), eccentric flywheel devices",easy
doses,剂量,12,physiology,Research on RTx reveals that “minimal doses” of RT are able to bring about subst,medium
down syndrome,唐氏综合征,25,musculoskeletal,"Siscovick DS, Weiss NS, Fletcher RH, Lasky T.",easy
drug-induced,drug引起的,1,physiology,"These disorders include IPF, asbestosis, sarcoidosis, and drug-induced pneumonit",hard
dual-action,双作用的,2,physiology,"Other exercise testing modes may be considered as needed, such as arm ergometry,",hard
dual-chambered,双腔的,1,physiology,Dual-chambered pacemakers that have two leads: one placed in the right,hard
dual-energy,双能,8,physiology,Body fat percentage determined from skinfold thickness measurements correlates w,hard
dual-energy x-ray absorptiometry,双能X线吸收法,8,musculoskeletal,Body fat percentage determined from skinfold thickness measurements correlates w,hard
dxa,双能X线吸收法,14,assessment,Body fat percentage determined from skinfold thickness measurements correlates w,medium
dynamic stretching,动态拉伸,6,prescription,"Dynamic stretching, which involves controlled movements through an active ROM, i",hard
dynamometer,测力计,7,musculoskeletal,The individual stands with feet slightly apart and holds the handgrip dynamomete,medium
dynamometers,测力计,5,musculoskeletal,Static or isometric strength can be measured conveniently using a variety of dev,medium
dynamometry,dynamometry测量法,3,musculoskeletal,Isokinetic dynamometry can be used to reliably evaluate muscle performance (229),hard
dynapenia,肌力减少症,1,cardiovascular,"Effects of physical exercise programs on sarcopenia manage- ment, dynapenia, and",hard
dyslipidemia,血脂异常,49,cardiovascular,Criteria for hypertension (Table 2.3) and dyslipidemia (Tables 2.4 and 2.5) are ,easy
dyspnea,呼吸困难,61,prescription,Abnormal exertional dyspnea suggests the presence of cardiopulmonary disorders; ,easy
dystrophy,营养不良,2,physiology,"Those with neurological conditions (i.e., muscular dystrophy, multiple sclerosis",hard
earbud-based,earbud基础的,1,physiology,"Earbud-based sensor for the assessment of energy expenditure, HR, and V∙ O2max.",hard
early-life,早期生命,1,physiology,"In addition, older women in particular may have had little early-life exposure t",hard
early-onset,早发的,4,prescription,"During exercise testing, both chronotropic incompetence and early-onset fatigue ",hard
early-stage,早期,3,metabolism,High intensity interval training favourably affects angiotensinogen mRNA express,hard
eccentric,离心的,29,physiology,Muscle hypertrophy was enhanced by higher volumes (≥10 sets/wk) and eccentric ov,easy
eccentric-only,仅离心的,1,physiology,"Between RTx, hypertrophy was enhanced by RT performed with eccentric-only con- t",hard
ecg,心电图,91,physiology,This includes sedentary adults starting a vigorous intensity exercise program if,easy
echocardiogram,超声心动图,2,physiology,"provider and may include verbal consultations, resting or stress ECG/echocardiog",hard
echocardiographic,超声心动图的,3,cardiovascular,"Echocardiographic examination allows evaluation of wall motion, wall thickness, ",hard
echocardiography,超声心动图,11,cardiovascular,Safety of stress echocardiography supervised by registered nurses: results of a ,hard
educational-toolkit,教育工具包,2,physiology,Educational toolkit: http://www.lboro.ac.uk/research/phc/educational-toolkit Phy,hard
eib,运动诱发性支气管痉挛,23,physiology,An official American Thoracic Society clinical practice guideline: exercise-indu,easy
eight-item,八项,1,metabolism,It is an eight-item functional strength assessment that scores individuals based,hard
eim,运动是良药,10,rehabilitation,"Gregory B. Dwyer, PhD, FACSM, ACSM-CEP, PD, ETT, EIM 3",medium
electrocardiogram,心电图,33,physiology,This includes sedentary adults starting a vigorous intensity exercise program if,easy
electrocardiograms,心电图,2,physiology,Modified electrode placement must be recorded when performing 12-lead electrocar,hard
electrocardiographic,心电图的,7,physiology,The electrocardiographic exercise test in a population with reduced workup bias:,hard
electrocardiography,心电图学,9,physiology,Preventive Services Task Force (USPSTF) recommends against the use of routine di,hard
electrogoniometers,电子测角仪,1,assessment,"Common devices for direct ROM measurement include goniometers, electrogoniometer",hard
electromyogr,肌电图,2,musculoskeletal,reflex excitability without affecting twitch contractile properties. J Electromy,hard
elite athlete,精英运动员,9,fitness,"dehydration (65). With elite athlete care both in and out of competition, provid",hard
emphysema,肺气肿,4,assessment,Pulmonary rehabilitation (PR) is often provided for those with various chronic o,hard
endocardial,endocardi的,1,cardiovascular,"Among individuals without prior MI, exercise-induced ST-segment elevation most o",hard
endocarditis,endocarditis炎,1,metabolism,Active endocarditis,hard
endocrinology,内分泌学,4,cardiovascular,American Association of Clinical Endocrinologists and American College of Endocr,hard
endometrial,endometri的,1,musculoskeletal,"colon, myeloma, myeloid leukemia, endometrial, gastric cardia, kidney, lung, liv",hard
endometrium,子宫内膜,1,musculoskeletal,"fractures; cancer of the bladder, breast, colon, endometrium, and lung; and",hard
endorsement,endorse过程,1,assessment,The results of the present study do not constitute endorsement by the American C,hard
energy-requirements,能量需求,1,physiology,Muscle activation and energy-requirements for varying postures in children and a,hard
english-language,english-langu过程,1,metabolism,Searches conducted on the Ovid platform were limited to English-language records,hard
environmental factor,环境因素,8,rehabilitation,,hard
environmental-related,environmental相关的,1,physiology,"Problem Solving Individuals face a number of personal, social, and environmental",hard
enzymatic,酶促的,2,physiology,"Dynamic stretching can elevate core temperature, which leads to increased neurom",hard
enzyme,酶,5,physiology,"He takes a statin, an angiotensin-converting enzyme (ACE) inhibitor, and aspirin",medium
enzymes,酶,1,physiology,"Generally, exercise testing may be appropriate for individuals whose symptoms ha",hard
epicardial,epicardi的,1,cardiovascular,Subsequent geometric and hemodynamic changes of the epicardial arteries may then,hard
epidemiology,流行病学,21,cardiovascular,Epidemiology and Prevention; and Council on Peripheral Vas-,easy
ergometer,测功仪,57,musculoskeletal,"Ensure that selected testing equipment (e.g., cycle ergometer, treadmill, sphygm",easy
ergometers,测功仪,11,musculoskeletal,"Modes of Testing Commonly used modes for exercise testing include treadmills, cy",medium
ergometric,erg测量的,1,musculoskeletal,"When it is not possible or feasible to measure V∙ O2, reasonable estimates of th",hard
ergometry,测功法,46,musculoskeletal,Reference standards for cardiorespiratory fitness measured with cardiopulmonary ,easy
ers,欧洲呼吸学会,1,physiology,An official European Respiratory Society/American Thoracic Society technical sta,hard
erythematosus,红斑性,2,physiology,"blood dyscrasias (e.g., lupus erythematosus); phlebitis, deep vein thrombosis, o",hard
esc,欧洲心脏病学会,2,physiology,ESC guidelines for the diagnosis and treatment of acute and chronic heart failur,hard
esemed,医学教育,2,assessment,"Alonso J, Lépine JP, ESEMeD/MHEDEA 2000 Scientific Committee.",hard
eswt,体外冲击波治疗,2,rehabilitation,Incremental (ISWT) and endurance (ESWT) shuttle walk tests are also used to asse,hard
ethnicity-specific,ethnicity特异性的,1,cardiovascular,"(≥31.2 in) for Europid women, with ethnicity-specific values for other groups",hard
etiology,病因学,12,physiology,CPET is particularly useful in identifying whether the cause of dyspnea has a ca,medium
euglycemia,euglycemia血症,2,cardiovascular,Glucose requirements to maintain euglycemia after moderate-intensity afternoon e,hard
euhydration,正常水合,2,metabolism,After exercise  Consumption of normal meals and beverages will restore euhydrati,hard
event-related,event相关的,1,physiology,The relationship between physical fitness and inhibitory ability in children wit,hard
evidence-based-programs,evidence基础的-programs,1,musculoskeletal,evidence-based-programs/physical-activity-programs-for-older-adults/,hard
evidenced-based,循证的,5,physiology,There are no clear evidenced-based guidelines for IMT for specific chronic lung ,hard
exam-content-outlines,考试内容大纲,2,physiology,exams/exam-content-outlines for detailed exam content outlines.,hard
example,示例,59,physiology,"Additionally, nontraditional forms of RT also yield marked benefits—for example,",easy
examples,示例,23,physiology,Table 1.1 gives specific examples of MET values for activities in each of the de,easy
exercise prescription,运动处方,234,rehabilitation,"Faulkner, PhD, FACSM to develop guidelines for graded exercise testing and exerc",easy
exercise testing,运动测试,476,prescription,"Title: ACSM’s guidelines for exercise testing and prescription / senior editor, ",easy
exercise-and-arthritis,exercise-and-arthritis炎,2,assessment,A/Patient-Caregiver/Diseases-Conditions/Living-Well-with-Rheumatic-Disease/Exerc,hard
exercise-associated,运动相关的,5,assessment,"Overdrinking hypotonic fluid (e.g., water) can lead to exercise-associated hypon",hard
exercise-associated hyponatremia,运动性低钠血症,2,cardiovascular,"Overdrinking hypotonic fluid (e.g., water) can lead to exercise-associated hypon",hard
exercise-associated muscle cramp,运动性肌肉痉挛,3,musculoskeletal,The evolution of exercise-associated muscle cramp research.,hard
exercise-based,运动为基础的,5,assessment,Safety of exercise-based cardiac rehabilitation and exercise testing for cardiac,hard
exercise-induced,运动诱发的,36,assessment,The effect of inter-set rest intervals on resistance exercise-induced muscle hyp,easy
exercise-induced asthma,运动性哮喘,1,assessment,Efficacy of a heat exchanger mask in cold exercise-induced asthma.,hard
exercise-induced bronchoconstriction,运动性支气管收缩,9,assessment,An official American Thoracic Society clinical practice guideline: exercise-indu,hard
exercise-mediated,运动介导的,1,assessment,The 10-s maximal sprint: a novel approach to counter an exercise-mediated fall i,hard
exercise-regulated,运动调节的,1,assessment,Resistance to aerobic exercise training causes metabolic dysfunction and reveals,hard
exercise-related,运动相关的,43,assessment,"Overlapping data are an issue in overviews of reviews, and methods are being dev",easy
exercise-specific,exercise特异性的,2,cardiovascular,Several methods have been used to convert loads between %1RM and repetition maxi,hard
exercise-testing,运动测试,2,assessment,"Title: ACSM’s guidelines for exercise testing and prescription / senior editor, ",hard
exertion-related,exertion相关的,1,physiology,"From an exercise safety standpoint, it is especially important to exclude hypert",hard
exertional heat illness,劳力性热病,10,metabolism,National Athletic Trainers’ Association Position Statement: exertional heat illn,hard
exoskeletal-assisted,外骨骼辅助的,3,physiology,Other forms of exercise that involve locomotor training to improve cardiorespira,hard
exoskeleton,外骨骼,2,rehabilitation,"Radiological examination is recommended, especially for individuals likely to be",hard
expenditure-based,expenditure基础的,1,metabolism,"effort. Energy expenditure-based intensity metrics, such as metabolic",hard
extend,延长,1,physiology,The effects of exercise in this population could even extend further into caregi,hard
extended,延长的,5,physiology,"If a Gulick-type spring-loaded tape measure is used, the handle should be extend",medium
extensor-driven,extensor驱动的,1,rehabilitation,"Tenodesis (i.e., active wrist extensor-driven finger flexion) allows functional ",hard
external load,外部负荷,2,fitness,"Strength can be assessed either statically (i.e., no overt muscular movement at ",hard
extrapulmonary,extrapulmon的,1,physiology,Restrictive lung diseases — extrapulmonary respiratory diseases that,hard
factor-binding,因子结合,1,physiology,"Effects of resis- tance training on muscle strength, insulin-like growth factor-",hard
faith-based,faith基础的,1,physiology,"Organizational factors  Schools, workplaces, faith-based settings, and community",hard
fall prevention,跌倒预防,6,rehabilitation,Physical activity pro- grams for balance and fall prevention in elderly: a syste,hard
fall-related,fall相关的,1,physiology,Prevention of falls and fall-related injuries in community-dwelling seniors: an ,hard
fast-acting,速效的,1,musculoskeletal,Individuals prone to AD should have access to a fast-acting antihypertensive age,hard
fatty,脂肪的,1,physiology,Lack of ev- idence for Omega-3 fatty acid supplementation in enhancing lean mass,hard
femur-tibial,femur-tibi的,1,assessment,Ultrasonographic femur-tibial length ratio: a marker of Down syndrome from the l,hard
fes,功能性电刺激,9,rehabilitation,Individuals with SCI at or above the T6 level are likely to experience AD (sudde,medium
fev1,第一秒用力呼气量,12,cardiovascular,The testing should be accompanied by a spirometric evaluation of the change in f,medium
fibric,fibr的,1,physiology,"Special Consideration  Individuals taking lipid-lowering medications (i.e., stat",hard
fibrillation,颤动,11,physiology,"Table 1.4 summarizes the risks of various cardiac events including AMI, ventricu",medium
fibrinolytic,fibrinolytic溶解的,1,cardiovascular,"Moreover, plaque rupture may be induced somewhat spontaneously via increased fib",hard
fibromyalgia,纤维肌痛,140,musculoskeletal,"Several submaximal exercise tests are reliable, valid and acceptable in people w",easy
fibrosis,纤维化,21,physiology,cThere are insufficient multicomponent model data to estimate the average FFBd o,easy
fibrotic,fibrot的,1,physiology,"These disorders include IPF, asbestosis, sarcoidosis, and drug-induced pneumonit",hard
field-based,基于现场的,3,physiology,Reliability of field-based fitness tests in youth.,hard
first-degree,第一度的,4,metabolism,before 55 yr in father or other male first-degree relative or before,hard
first-line,一线的,2,physiology,"Unfortunately, 45%–80% of people with anxiety or depressive disorders do not rec",hard
fitt,FITT原则,163,physiology,The FITT principles of Ex Rx presented in this chapter are based on the applicat,easy
fitt principle,FITT原则,36,prescription,The FITT principle of Ex Rx for CRF is summarized in Table 5.1.,easy
fitt-vp,频率强度时间类型-总量进阶,5,prescription,Exercise programs are generally constructed by manipulating six factors comprisi,hard
fitt-vp principle,FITT-VP原则,2,prescription,"per the FITT-VP principle) at least twice weekly, with all",hard
fitting,拟合,2,physiology,"Do I wear loose-fitting, porous, lightweight clothing?",hard
five-times-sit-to-stand,五次坐站测试,1,prescription,Five-Times-Sit-To-Stand test (187),hard
flat-footed,扁平足的,1,physiology,The individual stands flat-footed and reaches as high as possible with the domin,hard
flexibility,柔韧性,176,musculoskeletal,"In addition, age-specific recommendations are made concerning the importance of ",easy
flexibility-exercise,柔韧性运动,1,musculoskeletal,Box 5.5 Flexibility Exercise Definitions Ballistic methods or bouncing stretches,hard
flexometer,屈曲计,1,musculoskeletal,"Common devices for direct ROM measurement include goniometers, electrogoniometer",hard
flow-limiting,血流受限的,1,cardiovascular,asymptomatic individuals (16). Even though exercise testing may detect flow-limi,hard
focus-group,焦点小组,1,physiology,"‘Exercise to me is a scary word’: perceptions of fatigue, sleep dysfunction, and",hard
foster,促进,8,physiology,"179. Hickson RC, Hidaka K, Foster C. Skeletal muscle fiber type,",medium
fostering,促进,2,physiology,Fostering independence in health- promoting exercise.,hard
four-letter,四个字母,1,physiology,"The type of pacemaker, regardless of manufacturer, is identified by a four-lette",hard
frailty,衰弱,3,physiology,“Healthy adults” was operational- ized as humans (≥18-yr old) with no defined di,hard
free-living,自由生活的,3,metabolism,"Despite this standardized definition, scientific efforts to measure free-living ",hard
free-time,空闲时间,1,prescription,Unpacking the feel-good effect of free-time physical activity: between- and with,hard
free-weight,自由重量,7,metabolism,"Free-weight RT: Weights that can be moved in space freely (e.g., barbell).",hard
frequency-based,frequency基础的,1,prescription,The effectiveness of frequency-based resistance training protocols on muscular p,hard
frostbite,冻伤,15,musculoskeletal,"Frostbite occurs when tissue temperature falls lower than 0° C (32° F) (21,22).",medium
ftp,功能性阈值功率,1,metabolism,Available from: https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2014_SHS,hard
full range,全范围,2,prescription,"compared with standard RT, full range of motion, higher",hard
functional electrical stimulation,功能性电刺激,5,rehabilitation,Individuals with SCI at or above the T6 level are likely to experience AD (sudde,hard
functional fitness,功能性体适能,3,physiology,Relationship of sit-to-stand lower-body power with functional fitness measures a,hard
fvc,用力肺活量,4,cardiovascular,"However, limited evidence from a systematic review and meta-analysis on resistan",hard
gadolinium-enhancing,gadolinium增强,1,assessment,MS is defined as “the occurrence of clinical relapse or the presence of new T2 o,hard
gait training,步态训练,1,rehabilitation,"Additionally, water exercises and robotic gait training are effective for some p",hard
ganglia,神经节,1,metabolism,The effects of exercise on dopamine neurotransmission in Parkinson’s disease: ta,hard
gender-adjusted,性别调整的,1,physiology,External prognostic validations and comparisons of age- and gender-adjusted exer,hard
gender-based,gender基础的,1,physiology,In addition to describing an individual’s exercise capacity as estimated peak ME,hard
gender-normalized,性别标准化的,1,cardiovascular,Both absolute and age- and gender-normalized exercise capacities are strongly re,hard
genome-wide,全基因组,1,cardiovascular,Discovery of the first genome-wide significant risk loci for attention deficit/h,hard
geography,地理学,1,physiology,Physical environment  Natural factors such as weather or geography  Availability,hard
geometric,ge测量的,1,musculoskeletal,Subsequent geometric and hemodynamic changes of the epicardial arteries may then,hard
geriatric,geriatr的,1,physiology,Until these (and other) muscular fitness tests have been validated in pulmonary ,hard
gerontologist,geront学家,2,metabolism,independence in later years. Gerontologist. 2013;53(2):255–67.,hard
gerontology,geront学,2,physiology,"Gielen E, Beckwee D, Delaere A, De Breucker S, Vandewoude M, Bautmans I; Sarcope",hard
gestational diabetes,妊娠期糖尿病,1,physiology,"gain and gestational diabetes mellitus, decreased risk of preeclampsia and",hard
gestational diabetes mellitus,妊娠期糖尿病,1,physiology,"gain and gestational diabetes mellitus, decreased risk of preeclampsia and",hard
glucagon,胰高血糖素,1,metabolism,"Regardless of initial blood glucose levels, vigorous activity of any type may ca",hard
glucocorticoid,糖皮质激素,1,metabolism,Reduced bone mass and fat-free mass in women with multiple sclerosis: effects of,hard
glucocorticoids,糖皮质激素,2,metabolism,Pharmaceutical treatment of OA primarily involves analgesics and topical and ora,hard
glycaemia,glycaemia血症,1,cardiovascular,Is glycaemia or insulin dose the stronger risk factor for coronary artery diseas,hard
glycemia,glycemia血症,2,cardiovascular,Effects of performing resistance exercise before versus after aerobic exercise o,hard
glycohemoglobin,糖化血红蛋白,1,physiology,"elevated blood pressure, blood lipids, and glycohemoglobin levels (9–11).",hard
glycolated,糖化的,2,metabolism,"FPG, fasting plasma glucose (at least 8-h fasting); HbA1C, glycolated hemoglobin",hard
gold-reports,黄金报告,1,prescription,https://www.ctsnet.org/article/goodbye-sternal-precautions-hello-move- tube Glob,hard
goniometer,测角仪,6,musculoskeletal,Basic instructions for using a goniometer and inclinometer are provided in Box 3,medium
goniometers,测角仪,2,musculoskeletal,"Common devices for direct ROM measurement include goniometers, electrogoniometer",hard
goniometry,goniometry测量法,2,musculoskeletal,"Flexibility can be assessed with goniometry, the sit-and- reach test, and the ba",hard
grade,GRADE证据分级,14,assessment,Introduction to the GRADE approach for guideline development: considerations for,medium
gradeb,B级,2,assessment,1.8 × speeda × gradeb,hard
graded,分级的,25,assessment,"For example, the previous Position Stand recommended novice lifters complete two",easy
graded exercise test,分级运动试验,12,assessment,"The American Heart Association identified competencies, roles, and responsibilit",hard
grades,等级,1,assessment,Hiking at steep grades and,hard
groceries,杂货,1,physiology,"Each consists of serial performance of daily living tasks, such as carrying a we",hard
group-based,group基础的,2,physiology,"For experienced exercisers frequency is secondary to training volume, thus indiv",hard
group-home,集体之家,1,physiology,This is true for individuals living independently with the aid family caregivers,hard
group-level,group水平,1,physiology,"group-level evidence, so that appropriate deviations from",hard
guidelines-for-prevention,guidelines-for-preven过程,1,rehabilitation,,hard
gulick-type,古利克型,1,cardiovascular,"If a Gulick-type spring-loaded tape measure is used, the handle should be extend",hard
gxt,分级运动试验,26,prescription,"The American Heart Association identified competencies, roles, and responsibilit",easy
gxts,分级运动测试,1,prescription,GXT and during any follow-up GXTs to help determine degree of,hard
hace,高原脑水肿,11,metabolism,"The primary altitude illnesses are AMS, high-altitude cerebral edema (HACE), and",medium
half-marathon,半程马拉松,1,physiology,(128) studied over 10 million marathon and half-marathon runners and identified ,hard
hampered,受阻的,1,cardiovascular,Making specific FITT recommendations for exercise interventions is hampered by t,hard
hand-wraps,护手带,1,physiology,"hand-wraps (i.e., Active Hands), and accessibility of testing equipment.",hard
hape,高原肺水肿,13,cardiovascular,"The primary altitude illnesses are AMS, high-altitude cerebral edema (HACE), and",medium
health-enhancing,促进健康的,2,assessment,"Overall, exercise can provide a positive and potentially health-enhancing experi",hard
health-information,health-informa过程,1,physiology,"Also, all reasonable efforts must be made to protect the privacy of individual’s",hard
health-related,健康相关的,55,physiology,"Fitness Assessment Manual (previously titled, ACSM’s Health-Related",easy
health-related fitness,健康相关体适能,6,fitness,"Traditionally, muscular power has been considered a performance-related componen",hard
health-statistics,健康统计,1,physiology,"Summary Health Statistics: National Health Interview Survey, 2014 [Internet].",hard
health-topics,健康主题,1,physiology,What is metabolic syndrome?: http://www.nhlbi.nih.gov/health/health-topics/topic,hard
healthy-aging,健康老龄化,1,metabolism,Available from: https://www.ncoa.org/center-for-healthy-aging/basics-of-,hard
healthy-aging-facts,健康老龄化事实,1,musculoskeletal,Available from: https://www.ncoa.org/news/resources-for-reporters/get- the-facts,hard
heart failure,心力衰竭,60,cardiovascular,"(140) 2009 82 clinical sites in the United States, Canada, and France 4,411 0 0 ",easy
heart failure with preserved ejection fraction,射血分数保留的心力衰竭,2,cardiovascular,"Among individuals admitted for acute HF, 53% have HFrEF and 47% have HFpEF; and ",hard
heart failure with reduced ejection fraction,射血分数降低的心力衰竭,3,cardiovascular,"Outpatient Cardiac Rehabilitation There is strong evidence that outpatient CR, o",hard
heart rate reserve,心率储备,25,physiology,"HR, heart rate; HRR, heart rate reserve; METs, metabolic equivalents; RPE, ratin",easy
heart-rate,心率,1,physiology,"Related strategies or interventions may include recommending community, home, or",hard
heat acclimatization,热习服,5,physiology,"For example, heat acclimatization results in higher and more sustained sweating ",hard
heat exhaustion,热衰竭,7,metabolism,Heat exhaustion is the most common form of serious heat illness (66).,hard
heat stroke,中暑,3,musculoskeletal,Medical Considerations: Exertional Heat Illnesses Heat illnesses lie on a contin,hard
heat-physiological,heat-physi学的,1,metabolism,Performance in the heat-physiological factors or importance for hyperthermia-ind,hard
heat-related,热相关的,5,physiology,"Because of immature thermoregulatory systems, youth are at greater risk of heat-",hard
heavy-resistance,大阻力,1,physiology,Restoration of muscle power by heavy-resistance exercises.,hard
hematologic,血液学的,6,metabolism,TABLE 10.1 • Preexercise Medical Assessments for Individuals with Cancer Cancer ,medium
hematopoietic,造血的,4,physiology,"ACSM, American College of Sports Medicine; ADT, androgen deprivation therapy; HS",hard
hemiplegia,hemiplegia瘫痪,1,cardiovascular,CP was historically categorized according to a distribution of motor abnormaliti,hard
hemodial,hemodi的,1,physiology,195. Painter PL. Physical functioning in end-stage renal disease patients: updat,hard
hemodialysis,血液透析,10,physiology,Exercise capacity in hemodialysis and renal transplant patients.,medium
hemodynamic,血流动力学的,23,cardiovascular,Subsequent geometric and hemodynamic changes of the epicardial arteries may then,easy
hemodynamically,血流动力学地,1,cardiovascular,Hemodynamically significant heart disease,hard
hemodynamics,血流动力学,5,cardiovascular,Table A.1 lists the common categories of medications with available published da,medium
hemoglobin,血红蛋白,7,physiology,"HbA1C, glycated hemoglobin; MET, metabolic equivalent; non-HDL-C, total choleste",medium
hemoptysis,咯血,2,physiology,SIPE occurs during swimming in the absence of aspiration when fluid accumulates ,hard
hemorrhage,出血,2,physiology,■ Individuals with DM and retinopathy are at risk for vitreous hemorrhage.,hard
hemorrhagic,hemorrhag的,1,metabolism,"The etiology of a stroke is most often ischemic (87%, due to either thrombosis o",hard
hepatitis,hepatitis炎,1,physiology,"infection with other significant pathogens transmitted through air, fluids, or c",hard
herrera,埃雷拉,1,physiology,"220. Orten SM, Herrera BM, Yee IM, et al. Sex ratio of multiple sclerosis in Can",hard
herrero,埃雷罗,1,physiology,"El-Khouri M, Mourão MA, Tobo A, Battistella LR, Herrero CF, Riberto M.",hard
hesitant,hesit的,1,fitness,and caregivers are sometimes hesitant to start an exercise program with the,hard
heterogeneity,异质性,9,physiology,Heterogeneity was reported as the I2 sta- tistic (meta-analyses) or the fraction,hard
hfpef,射血分数保留的心衰,5,cardiovascular,"Among individuals admitted for acute HF, 53% have HFrEF and 47% have HFpEF; and ",medium
hfref,射血分数降低型心衰,11,cardiovascular,"Outpatient Cardiac Rehabilitation There is strong evidence that outpatient CR, o",medium
high altitude,高海拔,19,metabolism,"High altitude — For lowlanders, PA up to an altitude of 6,000 ft (~1,829 m) is s",hard
high-allergen,高过敏原,1,metabolism,"Be aware of the possibility of asthma exacerbation shortly after exercise, parti",hard
high-altitude,高海拔的,17,metabolism,"High altitude — For lowlanders, PA up to an altitude of 6,000 ft (~1,829 m) is s",hard
high-altitude cerebral edema,高原脑水肿,3,metabolism,"The primary altitude illnesses are AMS, high-altitude cerebral edema (HACE), and",hard
high-altitude pulmonary edema,高原肺水肿,2,metabolism,"The primary altitude illnesses are AMS, high-altitude cerebral edema (HACE), and",hard
high-ambient,high-ambi的,1,metabolism,Children and older adults should modify activities in conditions of high-ambient,hard
high-density,高密度的,10,fitness,Because of the cardioprotective effect of high-density lipoprotein cholesterol (,hard
high-frequency,高频的,2,prescription,High-frequency stimulation in Parkinson’s disease: more or less?,hard
high-frequency training,高频率训练,1,prescription,"wk−1) or high-frequency training (>3 d ∙ wk−1) (62,63,66). Therefore, a wide var",hard
high-functioning,高功能的,1,metabolism,Treadmill testing may be used to assess CRF among high-functioning ambulatory in,hard
high-grade,高级别的,2,metabolism,bradycardia such as seen with a high-grade AV block or after creation of,hard
high-impact,高冲击的,3,metabolism,pain or damage. There is no clear evidence that supports avoiding or discouragin,hard
high-income,高收入的,1,metabolism,"It is important to recognize, however, that these findings are based on studies ",hard
high-intensity,高强度的,20,prescription,diagnostic/prognostic role of exercise testing and moderate-to-high intensity,easy
high-level,高水平的,2,metabolism,International Olympic Committee consensus statement on the thermoregulatory and ,hard
high-quality,高质量的,3,metabolism,A high-quality ECG tracing should be obtained during an exercise test.,hard
high-sensitivity,high-sensitiv性质,1,fitness,"FITT, Frequency, Intensity, Time, and Type; HbA1C, glycosylated hemoglobin; hs-C",hard
high-speed,高速的,1,cardiovascular,The effects of high-speed resistance training on health outcomes in inde- penden,hard
high-training,高强度训练的,1,metabolism,“Living high-training low”: effect of moderate-altitude acclimatization with low,hard
high-velocity,high-veloc性质,1,metabolism,Increasing muscle power in healthy older adults should include both single- and ,hard
highbloodpressure,highbloodpress过程,1,metabolism,/HighBloodPressure/PreventionTreatmentofHighBloodPressure/Physical-Activity-,hard
hiit,高强度间歇训练,23,fitness,Interval training can be classified as either high intensity interval training (,easy
hippocampal,hippocamp的,1,metabolism,Subsequent to the preclinical stage is a second stage characterized by both pres,hard
hippocampus,海马,1,physiology,hippocampus and other brain regions (55). Subsequent to the preclinical,hard
home-based,家庭-based,23,physiology,"Compared with CTRL, strength was impacted by engag- ing in standard RT (17,24,29",easy
homeostasis,homeostasis停滞,4,physiology,Regular PA has been shown to improve psychological profiles in those with diabet,hard
